file_id	dilation_radius	gtc
3063	0	0.935164929006
3063	1	0.937363114408
3063	2	0.914832127665
3063	3	0.869301537866
3063	4	0.734773637191
6046	0	0.622192622943
6046	1	0.686690222855
6046	2	0.69109238568
6046	3	0.72463663904
6046	4	0.735614874166
8068	0	0.78299861813
8068	1	0.81474705777
8068	2	0.804948500704
8068	3	0.797195958252
8068	4	0.801307984174
12003	0	0.902090049324
12003	1	0.952249855689
12003	2	0.955480167264
12003	3	0.947426279024
12003	4	0.945978479692
16052	0	0.694411908343
16052	1	0.760893489396
16052	2	0.778367238128
16052	3	0.795777666592
16052	4	0.830642125058
41006	0	0.292507995278
41006	1	0.352278053777
41006	2	0.388762969933
41006	3	0.408492927804
41006	4	0.438560745201
41085	0	0.297116775169
41085	1	0.39541807315
41085	2	0.39375886721
41085	3	0.427546315147
41085	4	0.475495292362
41096	0	0.456212942046
41096	1	0.52402684196
41096	2	0.528045309407
41096	3	0.549511614604
41096	4	0.57139100626
43051	0	0.667328482946
43051	1	0.685940639154
43051	2	0.639216070407
43051	3	0.600933066026
43051	4	0.655042145488
51084	0	0.894764986216
51084	1	0.938599750355
51084	2	0.934894042481
51084	3	0.936349216522
51084	4	0.930458191982
64061	0	0.457600149883
64061	1	0.470799623786
64061	2	0.472132401608
64061	3	0.482227029154
64061	4	0.494738890226
69022	0	0.308941324882
69022	1	0.39199841078
69022	2	0.428342421666
69022	3	0.483426684848
69022	4	0.507479404487
70011	0	0.485971943888
70011	1	0.356776170257
70011	2	0.276376587748
70011	3	0.291514325803
70011	4	0.282396428693
70090	0	0.440812706711
70090	1	0.532986864064
70090	2	0.569747513016
70090	3	0.584101952699
70090	4	0.624802809152
100007	0	0.468891257132
100007	1	0.50673865438
100007	2	0.518588218585
100007	3	0.488123932538
100007	4	0.490019481038
100080	0	0.851253733431
100080	1	0.852096813687
100080	2	0.845065716926
100080	3	0.861987347136
100080	4	0.856368075265
103006	0	0.47697675403
103006	1	0.534531537
103006	2	0.534468246624
103006	3	0.580553317293
103006	4	0.584598902051
103078	0	0.525463159926
103078	1	0.569158398371
103078	2	0.565102801902
103078	3	0.563529827381
103078	4	0.5658003826
105027	0	0.252586039032
105027	1	0.358571606788
105027	2	0.437705405329
105027	3	0.477179666613
105027	4	0.481622992783
135037	0	0.507845774269
135037	1	0.536625409165
135037	2	0.581269264952
135037	3	0.590734094867
135037	4	0.560843340553
173036	0	0.472160201758
173036	1	0.468791735553
173036	2	0.48578870371
173036	3	0.501233658845
173036	4	0.513048770866
209070	0	0.26927972185
209070	1	0.292872227778
209070	2	0.306868057997
209070	3	0.331324877744
209070	4	0.353958463162
236017	0	0.280659271054
236017	1	0.36701597123
236017	2	0.40820894591
236017	3	0.442719969368
236017	4	0.454579716348
268002	0	0.344983829152
268002	1	0.362396071276
268002	2	0.329059239872
268002	3	0.318130711253
268002	4	0.316015794563
326038	0	0.366657297825
326038	1	0.461836616936
326038	2	0.493087137287
326038	3	0.450354960603
326038	4	0.468280031448
