file_id	dilation_radius	gtc
3063	0	0.935587291887
3063	1	0.943154676407
3063	2	0.938896526795
3063	3	0.936209347846
3063	4	0.939282643701
6046	0	0.825993207939
6046	1	0.845256719607
6046	2	0.850013671871
6046	3	0.869237782137
6046	4	0.881403824953
8068	0	0.807285774532
8068	1	0.820017313499
8068	2	0.822574643571
8068	3	0.827216193754
8068	4	0.826248805139
12003	0	0.920954175269
12003	1	0.931161188245
12003	2	0.934452909485
12003	3	0.932598720877
12003	4	0.930965290421
16052	0	0.621894333169
16052	1	0.68553787432
16052	2	0.711925799526
16052	3	0.751052192694
16052	4	0.768948023581
41006	0	0.503137330375
41006	1	0.537394793891
41006	2	0.538148740996
41006	3	0.552825510788
41006	4	0.565102060724
41085	0	0.553189807621
41085	1	0.590094027366
41085	2	0.617310535601
41085	3	0.648809440548
41085	4	0.655697020057
41096	0	0.656115464745
41096	1	0.665986869564
41096	2	0.68954314794
41096	3	0.711552772907
41096	4	0.731690436102
43051	0	0.705576835034
43051	1	0.739751631118
43051	2	0.758880081849
43051	3	0.770808500714
43051	4	0.770708982154
51084	0	0.808746877047
51084	1	0.847759901189
51084	2	0.85684816904
51084	3	0.849795684743
51084	4	0.849352781868
64061	0	0.464456919204
64061	1	0.468913546685
64061	2	0.499143882335
64061	3	0.552462721723
64061	4	0.567138453815
69022	0	0.726405452911
69022	1	0.784315209609
69022	2	0.779541762881
69022	3	0.788834596486
69022	4	0.795495171221
70011	0	0.558713693162
70011	1	0.704255952113
70011	2	0.723222089505
70011	3	0.71568768505
70011	4	0.702910040515
70090	0	0.717239845703
70090	1	0.735758460232
70090	2	0.746682371228
70090	3	0.74443190857
70090	4	0.749671714412
100007	0	0.320334466825
100007	1	0.337077956862
100007	2	0.354956495499
100007	3	0.358773312997
100007	4	0.358984785445
100080	0	0.673047325531
100080	1	0.707338540458
100080	2	0.719748628543
100080	3	0.723366839121
100080	4	0.730893442176
103006	0	0.551732456796
103006	1	0.604634204582
103006	2	0.62796441707
103006	3	0.640138571965
103006	4	0.647298079928
103078	0	0.561515740727
103078	1	0.565792877611
103078	2	0.568164539406
103078	3	0.573814544225
103078	4	0.568132956404
105027	0	0.484753617445
105027	1	0.537875540153
105027	2	0.549853125414
105027	3	0.552451512959
105027	4	0.556120925853
135037	0	0.842748666827
135037	1	0.862365121613
135037	2	0.864197355688
135037	3	0.864050637611
135037	4	0.85618789815
173036	0	0.513043017342
173036	1	0.529568856949
173036	2	0.544459077326
173036	3	0.547808697318
173036	4	0.553750743724
209070	0	0.507178002021
209070	1	0.618715333468
209070	2	0.677959148278
209070	3	0.719888956505
209070	4	0.734738687537
236017	0	0.376023473616
236017	1	0.407426423119
236017	2	0.424874965063
236017	3	0.442681282411
236017	4	0.451718363482
268002	0	0.301754859397
268002	1	0.317303332719
268002	2	0.334314463012
268002	3	0.341395694665
268002	4	0.349117388621
326038	0	0.513242421933
326038	1	0.578556489411
326038	2	0.610471969069
326038	3	0.628694283347
326038	4	0.627698542045
