file_id	time_pressure	dilation_radius	gtc
6046	15	0	0.530012485551
6046	15	1	0.557282527864
6046	15	2	0.565293977412
6046	15	3	0.579738430677
6046	15	4	0.577991018931
8023	25	0	0.175381379684
8023	25	1	0.303156304061
8023	25	2	0.37150523492
8023	25	3	0.380505506539
8023	25	4	0.394003417544
8068	25	0	0.557698496294
8068	25	1	0.585926855541
8068	25	2	0.578209916522
8068	25	3	0.60500944895
8068	25	4	0.607240325104
12003	15	0	0.640721896679
12003	15	1	0.85022031721
12003	15	2	0.86310758507
12003	15	3	0.850788297451
12003	15	4	0.850728871212
16052	40	0	0.695364033514
16052	40	1	0.722810355356
16052	40	2	0.728402618662
16052	40	3	0.749632846892
16052	40	4	0.768621406072
35049	15	0	0.370383732785
35049	15	1	0.398823697668
35049	15	2	0.43098825297
35049	15	3	0.443091899438
35049	15	4	0.450387143367
35058	40	0	0.387604496071
35058	40	1	0.331694066499
35058	40	2	0.345679949652
35058	40	3	0.338699281666
35058	40	4	0.349666906552
41006	25	0	0.311641746053
41006	25	1	0.34833003993
41006	25	2	0.367106741052
41006	25	3	0.394238230386
41006	25	4	0.408147148894
41029	25	0	0.778028841104
41029	25	1	0.739524793505
41029	25	2	0.743768396168
41029	25	3	0.748790962209
41029	25	4	0.749818287988
41085	15	0	0.406361643388
41085	15	1	0.443252075347
41085	15	2	0.447416454147
41085	15	3	0.453835524992
41085	15	4	0.445302568895
41096	40	0	0.439197728456
41096	40	1	0.50176616802
41096	40	2	0.536225581543
41096	40	3	0.56593345372
41096	40	4	0.574706458104
42012	25	0	0.4139686583
42012	25	1	0.477487118857
42012	25	2	0.500380454358
42012	25	3	0.516739144337
42012	25	4	0.536946570252
42049	15	0	0.352161489146
42049	15	1	0.379296014641
42049	15	2	0.406693946646
42049	15	3	0.418438879891
42049	15	4	0.422748670699
42078	15	0	0.508394800119
42078	15	1	0.57545403311
42078	15	2	0.589533886035
42078	15	3	0.573478055899
42078	15	4	0.592693857215
43051	25	0	0.589949862374
43051	25	1	0.630593193987
43051	25	2	0.662118498885
43051	25	3	0.682614877685
43051	25	4	0.700127964995
43074	15	0	0.325102414598
43074	15	1	0.357661339004
43074	15	2	0.376529898592
43074	15	3	0.382711203076
43074	15	4	0.403934930942
49024	40	0	0.453610507644
49024	40	1	0.513497012757
49024	40	2	0.566113788715
49024	40	3	0.587388632392
49024	40	4	0.572816231093
64061	40	0	0.340571780101
64061	40	1	0.357163536789
64061	40	2	0.393907547589
64061	40	3	0.414394269438
